,EventId,Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode,LocalTimeStart,LocalTimeEnd
11785,W-11788,Fog,Moderate,2020-01-01 09:53:00,2020-01-01 10:53:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2020-01-01 03:53:00,2020-01-01 04:53:00
11786,W-11789,Fog,Moderate,2020-01-01 13:53:00,2020-01-01 14:53:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2020-01-01 07:53:00,2020-01-01 08:53:00
11787,W-11790,Rain,Light,2020-01-02 00:53:00,2020-01-02 01:53:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2020-01-01 18:53:00,2020-01-01 19:53:00
11788,W-11791,Rain,Light,2020-01-02 05:53:00,2020-01-02 06:10:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2020-01-01 23:53:00,2020-01-02 00:10:00
11789,W-11792,Rain,Light,2020-01-02 06:22:00,2020-01-02 09:39:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2020-01-02 00:22:00,2020-01-02 03:39:00
11790,W-11793,Rain,Moderate,2020-01-02 09:39:00,2020-01-02 10:13:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2020-01-02 03:39:00,2020-01-02 04:13:00
11791,W-11794,Precipitation,UNK,2020-01-02 10:13:00,2020-01-02 10:46:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2020-01-02 04:13:00,2020-01-02 04:46:00
11792,W-11795,Rain,Heavy,2020-01-02 10:46:00,2020-01-02 11:21:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2020-01-02 04:46:00,2020-01-02 05:21:00
11793,W-11796,Rain,Light,2020-01-02 11:53:00,2020-01-02 16:23:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2020-01-02 05:53:00,2020-01-02 10:23:00
11794,W-11797,Rain,Light,2020-01-02 16:46:00,2020-01-02 18:53:00,US/Central,KBTR,30.5378,-91.1468,Baton Rouge,East Baton Rouge,LA,70807.0,2020-01-02 10:46:00,2020-01-02 12:53:00
